text,entities
Sentence,O
Thousands,QUANTITY
of,O
demonstrators,O
have,O
marched,O
through,O
London,COUNTRY
to,O
protest,O
the,O
war,ATTACKS
in,O
Iraq,COUNTRY
and,O
demand,O
the,O
withdrawal,O
of,O
British,O
troops,ARMY
from,O
that,O
country,O
.,O
"""",O
Families,O
of,O
soldiers,ARMY
killed,ATTACKS
in,O
the,O
conflict,O
joined,O
the,O
protesters,ORGANISATION
who,O
carried,O
banners,O
with,O
such,O
slogans,O
as,O
"""",O
"""",O
Bush,O
Number,O
One,O
Terrorist,O
"""",O
"""",O
and,O
"""",O
"""",O
Stop,O
the,O
Bombings,O
.,O
"""",O
"""",O
"""",O
They,O
marched,O
from,O
the,O
Houses,O
of,O
Parliament,O
to,O
a,O
rally,O
in,O
Hyde,PERSON
Park,O
.,O
"""",O
Police,ARMY
put,O
the,O
number,O
of,O
marchers,O
at,O
"10,000",QUANTITY
while,O
organizers,O
claimed,O
it,O
was,O
"1,00,000",QUANTITY
.,O
"""",O
The,O
protest,O
comes,O
on,O
the,O
eve,O
of,O
the,O
annual,TIME
conference,O
of,O
Britain,COUNTRY
's,O
ruling,O
Labor,O
Party,O
in,O
the,O
southern,O
English,O
seaside,O
resort,O
of,O
Brighton,LOCATION
.,O
"""",O
The,O
party,O
is,O
divided,O
over,O
Britain,COUNTRY
's,O
participation,O
in,O
the,O
Iraq,COUNTRY
conflict,O
and,O
the,O
continued,O
deployment,O
of,O
"8,500",QUANTITY
British,O
troops,ARMY
in,O
that,O
country,O
.,O
"""",O
"""",O
The,O
London,COUNTRY
march,O
came,O
ahead,O
of,O
anti,ATTACKS
-,O
war,ATTACKS
protests,O
today,O
in,O
other,O
cities,O
",",O
including,O
Rome,LOCATION
",",O
Paris,LOCATION
",",O
and,O
Madrid,LOCATION
.,O
"""",O
The,O
International,O
Atomic,O
Energy,COMPOUND
Agency,O
is,O
to,O
hold,O
second,O
day,O
of,O
talks,O
in,O
Vienna,COUNTRY
Wednesday,DAY
on,O
how,O
to,O
respond,O
to,O
Iran,COUNTRY
's,O
resumption,O
of,O
low,O
-,O
level,O
uranium,COMPOUND
conversion,O
.,O
Iran,COUNTRY
this,O
week,O
restarted,O
parts,O
of,O
the,O
conversion,O
process,O
at,O
its,O
Isfahan,O
nuclear,COMPOUND
plant,O
.,O
"""",O
Iranian,COUNTRY
officials,O
say,O
they,O
expect,O
to,O
get,O
access,O
to,O
sealed,O
sensitive,O
parts,O
of,O
the,O
plant,O
Wednesday,DAY
",",O
after,O
an,O
IAEA,ORGANISATION
surveillance,O
system,O
begins,O
functioning,O
.,O
