text	entities
Thousands	QUANTITY
of	O
demonstrators	O
have	O
marched	O
through	O
London	COUNTRY
to	O
protest	O
the	O
war	ATTACKS
in	O
Iraq	COUNTRY
and	O
demand	O
the	O
withdrawal	O
of	O
British	O
troops	ARMY
from	O
that	O
country	O
.	O
""""	O
Families	O
of	O
soldiers	ARMY
killed	ATTACKS
in	O
the	O
conflict	O
joined	O
the	O
protesters	ORGANISATION
who	O
carried	O
banners	O
with	O
such	O
slogans	O
as	O
""""	O
""""	O
Bush	O
Number	O
One	O
Terrorist	O
""""	O
""""	O
and	O
""""	O
""""	O
Stop	O
the	O
Bombings	O
.	O
""""	O
""""	O
""""	O
They	O
marched	O
from	O
the	O
Houses	O
of	O
Parliament	O
to	O
a	O
rally	O
in	O
Hyde	LOCATION
Park	O
.	O
""""	O
Police	ARMY
put	O
the	O
number	O
of	O
marchers	O
at	O
10,000	QUANTITY
while	O
organizers	O
claimed	O
it	O
was	O
1,00,000	QUANTITY
.	O
""""	O
The	O
protest	O
comes	O
on	O
the	O
eve	O
of	O
the	O
annual	TIME
conference	O
of	O
Britain	COUNTRY
's	O
ruling	O
Labor	O
Party	O
in	O
the	O
southern	O
English	O
seaside	O
resort	O
of	O
Brighton	LOCATION
.	O
""""	O
The	O
party	GOVERNMENT
is	O
divided	O
over	O
Britain	COUNTRY
's	O
participation	O
in	O
the	O
Iraq	COUNTRY
conflict	O
and	O
the	O
continued	O
deployment	O
of	O
8,500	QUANTITY
British	O
troops	ARMY
in	O
that	O
country	O
.	O
""""	O
""""	O
The	O
London	COUNTRY
march	O
came	O
ahead	O
of	O
anti	QUANTITY
-	O
war	ATTACKS
protests	O
today	O
in	O
other	O
cities	O
,	O
including	O
Rome	LOCATION
,	O
Paris	LOCATION
,	O
and	O
Madrid	LOCATION
.	O
""""	O
The	O
International	O
Atomic	O
Energy	COMPOUND
Agency	O
is	O
to	O
hold	O
second	ARMY
day	O
of	O
talks	O
in	O
Vienna	COUNTRY
Wednesday	DAY
on	O
how	O
to	O
respond	O
to	O
Iran	COUNTRY
's	O
resumption	O
of	O
low	O
-	O
level	O
uranium	COMPOUND
conversion	O
.	O
Iran	COUNTRY
this	O
week	O
restarted	O
parts	O
of	O
the	O
conversion	O
process	O
at	O
its	O
Isfahan	O
nuclear	COMPOUND
plant	O
.	O
""""	O
Iranian	COUNTRY
officials	O
say	O
they	O
expect	O
to	O
get	O
access	O
to	O
sealed	O
sensitive	O
parts	O
of	O
the	O
plant	O
Wednesday	DAY
,	O
after	O
an	O
IAEA	ORGANISATION
surveillance	O
system	O
begins	O
functioning	O
.	O
""""	O
The	O
step	O
will	O
allow	O
the	O
facility	BUILDINGS
to	O
operate	O
at	O
full	O
capacity	O
.	O
""""	O
The	O
European	LOCATION
Union	COUNTRY
,	O
with	O
U.S.	COUNTRY
backing	O
,	O
has	O
threatened	O
to	O
refer	O
Iran	COUNTRY
to	O
the	O
U.N.	ORGANISATION
Security	COMPOUND
Council	O
,	O
which	O
could	O
impose	O
sanctions	O
if	O
it	O
finds	O
Tehran	LOCATION
has	O
violated	O
the	O
Nuclear	COMPOUND
Non	COUNTRY
-	O
Proliferation	O
treaty	O
.	O
""""	O
Iran	COUNTRY
's	O
new	O
President	O
Mahmoud	LOCATION
Ahmadinejad	O
said	O
Tuesday	DAY
that	O
European	LOCATION
incentives	O
aimed	O
at	O
persuading	O
Iran	COUNTRY
to	O
end	O
its	O
nuclear	COMPOUND
fuel	O
program	O
are	O
an	O
insult	O
to	O
the	O
Iranian	COUNTRY
nation	O
.	O
Two	QUANTITY
Germans	COUNTRY
and	O
four	QUANTITY
Nigerian	COUNTRY
oil	COMPOUND
workers	O
were	O
kidnapped	ATTACKS
by	O
armed	O
militants	ARMY
during	O
a	O
raid	ATTACKS
on	O
a	O
boat	O
in	O
Nigeria	COUNTRY
's	O
southern	O
oil	COMPOUND
-	O
rich	O
Delta	LOCATION
region	LOCATION
.	O
""""	O
An	O
official	O
with	O
the	O
German	O
firm	O
Bilfinger	QUANTITY
Berger	O
,	O
Thomas	O
Horbach	PERSON
,	O
said	O
the	O
gunmen	O
stopped	O
the	O
supply	O
boat	O
Wednesday	DAY
as	O
it	O
sailed	O
from	O
Delta	LOCATION
State	O
to	O
Bayelsa	LOCATION
State	O
to	O
inspect	O
an	O
